Adam Fugitt
Alexandre Pantoja
Alice Ardelean
Allan Nascimento
Alonzo Menifield
Amanda Ribas
Amir Albazi
Andre Petroski
Andrey Pulyaev
André Lima
Anthony Hernandez
Ariane Lipski da Silva
Asu Almabayev
Austen Lane
Azamat Murzakanov
Azat Maksum
Beneil Dariush
Billy Elekana
Billy Ray Goff
Bogdan Grad
Bogdan Guskov
Bolaji Oki
Brandon Royval
Brendan Allen
Brendson Ribeiro
Brunno Ferreira
Bruno Lopes
Bruno Silva
Calvin Kattar
Carli Judice
Charles Jourdain
Charles Oliveira
Christian Leroy Duncan
Cody Brundage
Cody Durden
Cody Garbrandt
Cong Wang
Court McGee
Curtis Blaydes
Daniel Zellhuber
Darya Zheleznyakova
Derrick Lewis
Dricus Du Plessis
Dustin Jacoby
Dustin Poirier
Duško Todorović
Edmen Shahbazyan
Eduarda Moura
Erin Blanchfield
Eryk Anders
Fatima Kline
Felipe Bunes
Gabriella Fernandes
Gregory Rodrigues
Gunnar Nelson
Hamdy Abdelwahab
Ibo Aslan
Ignacio Bahamondes
Ikram Aliskerov
Ilia Topuria
Irina Alekseeva
Islam Dulatov
Ismail Naurdiev
Jack Hermansson
Jafel Filho
Jamahal Hill
Jamey-Lyn Horth
Jeka Saragih
Jhonata Diniz
Jimmy Crute
Joaquin Buckley
Joe Pyfer
Joo Sang Yoo
Jordan Leavitt
Jose Ochoa
Joshua Van
Julianna Peña
Julija Stoliarenko
Julius Walker
Jun Yong Park
Justin Tafa
Kai Kara-France
Kamaru Usman
Karol Rosa
Kayla Harrison
Kelvin Gastelum
Ketlen Souza
Ketlen Vieira
Kevin Holland
Khalil Rountree Jr.
Khamzat Chimaev
Khaos Williams
Klaudia Syguła
Kurt Holobaugh
Kyler Phillips
Lauren Murphy
Macy Chiasson
Manel Kape
Mansur Abdul-Malik
MarQuel Mederos
Marc-André Barriault
Marcin Prachnio
Mario Bautista
Marvin Vettori
Mateusz Gamrot
Max Holloway
Maycee Barber
Melissa Martinez
Melissa Mullins
Merab Dvalishvili
Michael Chiesa
Michael Johnson
Miranda Maverick
Mohammed Usman
Muhammad Naimov
Nazim Sadykhov
Neil Magny
Nick Klein
Nicolle Caliari
Nikita Krylov
Nikolas Motta
Nora Cornolle
Oban Elliott
Oumar Sy
Patchy Mix
Paulo Costa
Piera Rodriguez
Quillan Salkilld
Rafael Fiziev
Raffael Cerqueira
Ramazan Temirov
Ramiz Brahimaj
Raoni Barcelos
Rayanne dos Santos
Reinier de Ridder
Renato Moicano
Ricky Simón
Rizvan Kuniev
Robert Whittaker
Roman Dolidze
Roman Kopylov
Rose Namajunas
Sean O'Malley
Seok Hyun Ko
Serghei Spivac
Shara Magomedov
Steve Garcia
Tabatha Ricci
Tagir Ulanbekov
Tallison Teixeira
Tatsuro Taira
Tereza Bledá
Tracy Cortez
Uros Medic
Vicente Luque
Vinicius Oliveira
Vitor Petrino
Viviane Araujo
Waldo Cortes-Acosta
Yanal Ashmouz
Zach Reese
Ľudovít Klein
